historical_finding_id,source_file,inspection_type,site_name,site_address,equipment_class,inspection_date,section,severity_category,finding_number,area,finding_text,finding_text_clean,correction,reference_raw,reference_type,reference_normalized,standard_code,clause_number,law_code,law_section,retrieval_text
HF-00001,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/04 m#U00e4#U00e4r#U00e4aikaistarkastus espanjan suurl#U00e4hetyst#U00f6.docx,määräaikainen,Embassy of Spain,"Kalliolinnantie 6, 00140 Helsinki",1b,27.8.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,1,Pääkeskus PK,Ryhmä 8 Hissin sähkösyöttö. Keskuksen merkintöjen ja suunnitelmien mukaan sulakekoko kuuluisi olla 25 A. Lähtöön asennettu 35 A sulakkeet. [SFS-6000.433],Ryhmä 8 Hissin sähkösyöttö. Keskuksen merkintöjen ja suunnitelmien mukaan sulakekoko kuuluisi olla 25 A. Lähtöön asennettu 35 A sulakkeet.,,SFS-6000.433,standard_clause,SFS 6000 kohta 433,SFS 6000,433,,,määräaikainen | Embassy of Spain | Pääkeskus PK | Ryhmä 8 Hissin sähkösyöttö. Keskuksen merkintöjen ja suunnitelmien mukaan sulakekoko kuuluisi olla 25 A. Lähtöön asennettu 35 A sulakkeet. | SFS 6000 kohta 433 | kat_2_turvallisuutta_vahentava
HF-00002,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/04 m#U00e4#U00e4r#U00e4aikaistarkastus espanjan suurl#U00e4hetyst#U00f6.docx,määräaikainen,Embassy of Spain,"Kalliolinnantie 6, 00140 Helsinki",1b,27.8.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,2,Pääkeskus PK,"Keskuksen kontaktoritilassa rele, jota ei ole kiinnitetty. Rele roikkuu johtojen varassa. [SFS- käsikirja 640]","Keskuksen kontaktoritilassa rele, jota ei ole kiinnitetty. Rele roikkuu johtojen varassa.",,SFS- käsikirja 640,standard_document,SFS-käsikirja 640,SFS-käsikirja 640,,,,"määräaikainen | Embassy of Spain | Pääkeskus PK | Keskuksen kontaktoritilassa rele, jota ei ole kiinnitetty. Rele roikkuu johtojen varassa. | SFS-käsikirja 640 | kat_2_turvallisuutta_vahentava"
HF-00003,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/04 m#U00e4#U00e4r#U00e4aikaistarkastus espanjan suurl#U00e4hetyst#U00f6.docx,määräaikainen,Embassy of Spain,"Kalliolinnantie 6, 00140 Helsinki",1b,27.8.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,3,Despacho Archivo,Huoneen valaisimissa ei ole kupua. Valaisimien lampunpitimien peruseristeiset johtimet on kosketeltavissa. [SFS-6000 Liite 41A],Huoneen valaisimissa ei ole kupua. Valaisimien lampunpitimien peruseristeiset johtimet on kosketeltavissa.,,SFS-6000 Liite 41A,standard_clause,SFS 6000 kohta Liite 41A,SFS 6000,Liite 41A,,,määräaikainen | Embassy of Spain | Despacho Archivo | Huoneen valaisimissa ei ole kupua. Valaisimien lampunpitimien peruseristeiset johtimet on kosketeltavissa. | SFS 6000 kohta Liite 41A | kat_2_turvallisuutta_vahentava
HF-00004,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/04 m#U00e4#U00e4r#U00e4aikaistarkastus espanjan suurl#U00e4hetyst#U00f6.docx,määräaikainen,Embassy of Spain,"Kalliolinnantie 6, 00140 Helsinki",1b,27.8.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,3,Ulkoalue,Ajoneuvoportin sähkökaapin kaapeliläpiviennit avoimena sekä 230V sähköliittimet irrallaan/vahingoittunut. [SFS-6000.412.2.2],Ajoneuvoportin sähkökaapin kaapeliläpiviennit avoimena sekä 230V sähköliittimet irrallaan/vahingoittunut.,,SFS-6000.412.2.2,standard_clause,SFS 6000 kohta 412.2.2,SFS 6000,412.2.2,,,määräaikainen | Embassy of Spain | Ulkoalue | Ajoneuvoportin sähkökaapin kaapeliläpiviennit avoimena sekä 230V sähköliittimet irrallaan/vahingoittunut. | SFS 6000 kohta 412.2.2 | kat_2_turvallisuutta_vahentava
HF-00005,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/04 m#U00e4#U00e4r#U00e4aikaistarkastus espanjan suurl#U00e4hetyst#U00f6.docx,määräaikainen,Embassy of Spain,"Kalliolinnantie 6, 00140 Helsinki",1b,27.8.2025,8. Suositukset,suositus,1,"Pääkeskushuone PK. Suunnitelman mukaan lähtö 3x25 A. Maakaapelivaurion takia lähtö muutettu 1x50 A. Suositellaan maakaapelin korjaamista tai uusimista ja lähdön palauttamista takaisin suunnitelman mukaiseksi. Mikäli korjaustoimenpiteitä ei tehdä, tulee keskuksen ja suunnitelmien merkinnät päivittää vastaamaan nykyistä tilannetta.",,,,,,,,,,,"määräaikainen | Embassy of Spain | Pääkeskushuone PK. Suunnitelman mukaan lähtö 3x25 A. Maakaapelivaurion takia lähtö muutettu 1x50 A. Suositellaan maakaapelin korjaamista tai uusimista ja lähdön palauttamista takaisin suunnitelman mukaiseksi. Mikäli korjaustoimenpiteitä ei tehdä, tulee keskuksen ja suunnitelmien merkinnät päivittää vastaamaan nykyistä tilannetta. |  |  | suositus"
HF-00006,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/04 m#U00e4#U00e4r#U00e4aikaistarkastus espanjan suurl#U00e4hetyst#U00f6.docx,määräaikainen,Embassy of Spain,"Kalliolinnantie 6, 00140 Helsinki",1b,27.8.2025,8. Suositukset,suositus,2,"Siivoushuoneessa ja autotallissa E27 kantaisia valaisimia, joiden kupu puuttuu.",,,,,,,,,,,"määräaikainen | Embassy of Spain | Siivoushuoneessa ja autotallissa E27 kantaisia valaisimia, joiden kupu puuttuu. |  |  | suositus"
HF-00007,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/04 m#U00e4#U00e4r#U00e4aikaistarkastus espanjan suurl#U00e4hetyst#U00f6.docx,määräaikainen,Embassy of Spain,"Kalliolinnantie 6, 00140 Helsinki",1b,27.8.2025,8. Suositukset,suositus,3,Määräaikaistarkastusta ei ole tehty määräaikaan mennessä. Tulee tehdä seuraavan kerran 10-vuoden kuluttua.,,,,,,,,,,,määräaikainen | Embassy of Spain | Määräaikaistarkastusta ei ole tehty määräaikaan mennessä. Tulee tehdä seuraavan kerran 10-vuoden kuluttua. |  |  | suositus
HF-00008,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,6. Vakavat puutteet ja viat (kat. 1),kat_1_vakava,1,Huolto- ja kunnossapito-ohjelma,"Huolto- ja kunnossapito-ohjelmaa ei ole laadittu riittävällä tarkkuudella. Asiasta on kirjaus myös edellisessä määräaikaistarkastuspöytäkirjassa, eikä toimiin ole ryhdytty. Muuntamot sisältävät huomattavan vanhoja laitteita eikä niitä ole huollettu. Huolto ja kunnossapito suunnitelmassa ei ole myöskään räjähdysvaarallisia tiloja. [Sähköturvallisuuslaki 1135/2016; 48 §]","Huolto- ja kunnossapito-ohjelmaa ei ole laadittu riittävällä tarkkuudella. Asiasta on kirjaus myös edellisessä määräaikaistarkastuspöytäkirjassa, eikä toimiin ole ryhdytty. Muuntamot sisältävät huomattavan vanhoja laitteita eikä niitä ole huollettu. Huolto ja kunnossapito suunnitelmassa ei ole myöskään räjähdysvaarallisia tiloja.",,Sähköturvallisuuslaki 1135/2016; 48 §,law_section,Sähköturvallisuuslaki 1135/2016 48§,,,Sähköturvallisuuslaki 1135/2016,48§,"uusinta | Finavia Oyj | Huolto- ja kunnossapito-ohjelma | Huolto- ja kunnossapito-ohjelmaa ei ole laadittu riittävällä tarkkuudella. Asiasta on kirjaus myös edellisessä määräaikaistarkastuspöytäkirjassa, eikä toimiin ole ryhdytty. Muuntamot sisältävät huomattavan vanhoja laitteita eikä niitä ole huollettu. Huolto ja kunnossapito suunnitelmassa ei ole myöskään räjähdysvaarallisia tiloja. | Sähköturvallisuuslaki 1135/2016 48§ | kat_1_vakava"
HF-00009,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,1,RSA,"Räjähdyssuoja-asiakirja päivätty 29.10.2018, sen jälkeen tullut tilamuutoksia/toiminta muuttunut. RSA tulee päivittää. Nykyinen RSA ei sisällä laiteluetteloa [VNa 576/2003; 8 §]","Räjähdyssuoja-asiakirja päivätty 29.10.2018, sen jälkeen tullut tilamuutoksia/toiminta muuttunut. RSA tulee päivittää. Nykyinen RSA ei sisällä laiteluetteloa",OK/RL,VNa 576/2003; 8 §,law_section,Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003 8§,,,Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003,8§,"uusinta | Finavia Oyj | RSA | Räjähdyssuoja-asiakirja päivätty 29.10.2018, sen jälkeen tullut tilamuutoksia/toiminta muuttunut. RSA tulee päivittää. Nykyinen RSA ei sisällä laiteluetteloa | Valtioneuvoston asetus räjähdyskelpoisten ilmaseosten työntekijöille aiheuttaman vaaran torjunnasta 576/2003 8§ | kat_2_turvallisuutta_vahentava"
HF-00010,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,2,RSA,Räjähdysvaarallisten tilojen kunnossapitotarkastukset tekemättä. Pitää tehdä enintään kolmen vuoden välein [SFS-EN 60079-17 kohta 4.4].,Räjähdysvaarallisten tilojen kunnossapitotarkastukset tekemättä. Pitää tehdä enintään kolmen vuoden välein .,OK/RL,SFS-EN 60079-17 kohta 4.4,standard_clause,SFS-EN 60079-17 kohta 4.4,SFS-EN 60079-17,4.4,,,uusinta | Finavia Oyj | RSA | Räjähdysvaarallisten tilojen kunnossapitotarkastukset tekemättä. Pitää tehdä enintään kolmen vuoden välein . | SFS-EN 60079-17 kohta 4.4 | kat_2_turvallisuutta_vahentava
HF-00011,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,3,RSA,Räjähdys-suoja-asiakirjaan tai sen liitteeksi tulee lisätä tilaluokiteltujen alueiden laitetiedot (luettelo EX- laitteista) [SFS-EN 60079-17 kohta 4.1].,Räjähdys-suoja-asiakirjaan tai sen liitteeksi tulee lisätä tilaluokiteltujen alueiden laitetiedot (luettelo EX- laitteista) .,,SFS-EN 60079-17 kohta 4.1,standard_clause,SFS-EN 60079-17 kohta 4.1,SFS-EN 60079-17,4.1,,,uusinta | Finavia Oyj | RSA | Räjähdys-suoja-asiakirjaan tai sen liitteeksi tulee lisätä tilaluokiteltujen alueiden laitetiedot (luettelo EX- laitteista) . | SFS-EN 60079-17 kohta 4.1 | kat_2_turvallisuutta_vahentava
HF-00012,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,4,Dokumentointi,Edellisen määräaikaistarkastuksen ja varmennustarkastusten puutteet tulee korjata. Tarkastuksella ei ollut käytössä kuitattua pöytäkirjaa.,Edellisen määräaikaistarkastuksen ja varmennustarkastusten puutteet tulee korjata. Tarkastuksella ei ollut käytössä kuitattua pöytäkirjaa.,,,,,,,,,uusinta | Finavia Oyj | Dokumentointi | Edellisen määräaikaistarkastuksen ja varmennustarkastusten puutteet tulee korjata. Tarkastuksella ei ollut käytössä kuitattua pöytäkirjaa. |  | kat_2_turvallisuutta_vahentava
HF-00013,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,5,Dokumentointi,Kohteen maadoitusjärjestelmää ei ole dokumentoitu laajaksi maadoitusjärjestelmäksi. Muuntamoiden rakentamisen yhteydessä ei ole mitattu maadoitusvastusta eikä sen perusteella ole todettu Utp kosketusjännitettä. Kosketusjännitetarkastelu Utp tekemättä kaikilla muuntamoilla. [SFS 6001 liite NA.O.1; SFS 6001 liite NA.13; SFS 6001 liite NA11.1.3; A1-1966 § 43 ja SFS 6001-10.5],Kohteen maadoitusjärjestelmää ei ole dokumentoitu laajaksi maadoitusjärjestelmäksi. Muuntamoiden rakentamisen yhteydessä ei ole mitattu maadoitusvastusta eikä sen perusteella ole todettu Utp kosketusjännitettä. Kosketusjännitetarkastelu Utp tekemättä kaikilla muuntamoilla.,,SFS 6001 liite NA.O.1; SFS 6001 liite NA.13; SFS 6001 liite NA11.1.3; A1-1966 § 43 ja SFS 6001-10.5,unparsed,SFS 6001 liite NA.O.1; SFS 6001 liite NA.13; SFS 6001 liite NA11.1.3; A1-1966 § 43 ja SFS 6001-10.5,,,,,uusinta | Finavia Oyj | Dokumentointi | Kohteen maadoitusjärjestelmää ei ole dokumentoitu laajaksi maadoitusjärjestelmäksi. Muuntamoiden rakentamisen yhteydessä ei ole mitattu maadoitusvastusta eikä sen perusteella ole todettu Utp kosketusjännitettä. Kosketusjännitetarkastelu Utp tekemättä kaikilla muuntamoilla. | SFS 6001 liite NA.O.1; SFS 6001 liite NA.13; SFS 6001 liite NA11.1.3; A1-1966 § 43 ja SFS 6001-10.5 | kat_2_turvallisuutta_vahentava
HF-00014,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,6,Tankkausasema,Vuotoaltaan huohotusputket maadoittamatta. Maadoituskaapeli vedetty mutta se on kytkemättä [SFS-EN 60079-14.6.4].,Vuotoaltaan huohotusputket maadoittamatta. Maadoituskaapeli vedetty mutta se on kytkemättä .,,SFS-EN 60079-14.6.4,standard_clause,SFS-EN 60079-14 kohta 6.4,SFS-EN 60079-14,6.4,,,uusinta | Finavia Oyj | Tankkausasema | Vuotoaltaan huohotusputket maadoittamatta. Maadoituskaapeli vedetty mutta se on kytkemättä . | SFS-EN 60079-14 kohta 6.4 | kat_2_turvallisuutta_vahentava
HF-00015,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,7,Tankkausasema,"Polttoainesäiliön päällä toimilaitteen kaapeliläpivienti ei tiivisty kunnolla. Kaapeli liikkuu, kun sitä nykii [SFS-EN 60079-14.10].","Polttoainesäiliön päällä toimilaitteen kaapeliläpivienti ei tiivisty kunnolla. Kaapeli liikkuu, kun sitä nykii .",OK/RL,SFS-EN 60079-14.10,standard_clause,SFS-EN 60079-14 kohta 10,SFS-EN 60079-14,10,,,"uusinta | Finavia Oyj | Tankkausasema | Polttoainesäiliön päällä toimilaitteen kaapeliläpivienti ei tiivisty kunnolla. Kaapeli liikkuu, kun sitä nykii . | SFS-EN 60079-14 kohta 10 | kat_2_turvallisuutta_vahentava"
HF-00016,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,8,Tankkausasema,Kaiteen maadoitusjohdin asennettu maassa TAM muoviputkella ja se kiinnittämättä. Riittämätön mekaaninen suojaus [SFS-EN 60079-14.9].,Kaiteen maadoitusjohdin asennettu maassa TAM muoviputkella ja se kiinnittämättä. Riittämätön mekaaninen suojaus .,,SFS-EN 60079-14.9,standard_clause,SFS-EN 60079-14 kohta 9,SFS-EN 60079-14,9,,,uusinta | Finavia Oyj | Tankkausasema | Kaiteen maadoitusjohdin asennettu maassa TAM muoviputkella ja se kiinnittämättä. Riittämätön mekaaninen suojaus . | SFS-EN 60079-14 kohta 9 | kat_2_turvallisuutta_vahentava
HF-00017,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,9,Katujakokaappi/sähköliittymä,Jakokaapin kanta ei saatu tarkastuksella auki. Lukkomekanismi rikki. [SFS 6000-513],Jakokaapin kanta ei saatu tarkastuksella auki. Lukkomekanismi rikki.,,SFS 6000-513,standard_document,SFS 6000-513,SFS 6000-513,,,,uusinta | Finavia Oyj | Katujakokaappi/sähköliittymä | Jakokaapin kanta ei saatu tarkastuksella auki. Lukkomekanismi rikki. | SFS 6000-513 | kat_2_turvallisuutta_vahentava
HF-00018,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,10,Katujakokaappi/sähköliittymä,Jakokaapin VV-osassa ryhmät 7 ja 8 sulakekoko merkkaamatta [VNa 1434/2016 liitteen kohta 21],Jakokaapin VV-osassa ryhmät 7 ja 8 sulakekoko merkkaamatta,,VNa 1434/2016 liitteen kohta 21,unparsed,VNa 1434/2016 liitteen kohta 21,,,,,uusinta | Finavia Oyj | Katujakokaappi/sähköliittymä | Jakokaapin VV-osassa ryhmät 7 ja 8 sulakekoko merkkaamatta | VNa 1434/2016 liitteen kohta 21 | kat_2_turvallisuutta_vahentava
HF-00019,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,11,Katujakokaappi/sähköliittymä,Jakokaapin PKV osan ryhmän 11 merkintä ei täsmää kaapeli- ja sulakekoon osalta. [VNa 1434/2016 liitteen kohta 21].,Jakokaapin PKV osan ryhmän 11 merkintä ei täsmää kaapeli- ja sulakekoon osalta. .,,VNa 1434/2016 liitteen kohta 21,unparsed,VNa 1434/2016 liitteen kohta 21,,,,,uusinta | Finavia Oyj | Katujakokaappi/sähköliittymä | Jakokaapin PKV osan ryhmän 11 merkintä ei täsmää kaapeli- ja sulakekoon osalta. . | VNa 1434/2016 liitteen kohta 21 | kat_2_turvallisuutta_vahentava
HF-00020,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,12,Katujakokaappi/sähköliittymä,Jakokaapissa asennettu ylikokoisia sulakkeita suhteessa jakokaapin merkintöihin (200A250A ja 315A 400A) [SFS 6000-4-43].,Jakokaapissa asennettu ylikokoisia sulakkeita suhteessa jakokaapin merkintöihin (200A250A ja 315A 400A) .,,SFS 6000-4-43,standard_document,SFS 6000-4-43,SFS 6000-4-43,,,,uusinta | Finavia Oyj | Katujakokaappi/sähköliittymä | Jakokaapissa asennettu ylikokoisia sulakkeita suhteessa jakokaapin merkintöihin (200A250A ja 315A 400A) . | SFS 6000-4-43 | kat_2_turvallisuutta_vahentava
HF-00021,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,13,Katujakokaappi/sähköliittymä,Jakokaapin tunnusmerkintä puuttuu [VNa 1434/2016 liitteen kohta 21].,Jakokaapin tunnusmerkintä puuttuu .,,VNa 1434/2016 liitteen kohta 21,unparsed,VNa 1434/2016 liitteen kohta 21,,,,,uusinta | Finavia Oyj | Katujakokaappi/sähköliittymä | Jakokaapin tunnusmerkintä puuttuu . | VNa 1434/2016 liitteen kohta 21 | kat_2_turvallisuutta_vahentava
HF-00022,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,14,VV-kontti,Varavoimakoneen täyttöpisteeltä puuttuu maadoitustappi säiliöauton maadoituskytkentää varten [SFS 3352-17.3].,Varavoimakoneen täyttöpisteeltä puuttuu maadoitustappi säiliöauton maadoituskytkentää varten .,,SFS 3352-17.3,standard_clause,SFS 3352-17 kohta 3,SFS 3352-17,3,,,uusinta | Finavia Oyj | VV-kontti | Varavoimakoneen täyttöpisteeltä puuttuu maadoitustappi säiliöauton maadoituskytkentää varten . | SFS 3352-17 kohta 3 | kat_2_turvallisuutta_vahentava
HF-00023,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,15,VV-kontti,Varavoimakontin öljysäiliön sisäpuoleinen tila luokiteltu RSA asiakirjan mukaan tilaluokaksi 0. Säiliöön on asennettu ATEX luokittelematon ylitäytönestimen anturi. [SFS-EN 60079-14.4],Varavoimakontin öljysäiliön sisäpuoleinen tila luokiteltu RSA asiakirjan mukaan tilaluokaksi 0. Säiliöön on asennettu ATEX luokittelematon ylitäytönestimen anturi.,,SFS-EN 60079-14.4,standard_clause,SFS-EN 60079-14 kohta 4,SFS-EN 60079-14,4,,,uusinta | Finavia Oyj | VV-kontti | Varavoimakontin öljysäiliön sisäpuoleinen tila luokiteltu RSA asiakirjan mukaan tilaluokaksi 0. Säiliöön on asennettu ATEX luokittelematon ylitäytönestimen anturi. | SFS-EN 60079-14 kohta 4 | kat_2_turvallisuutta_vahentava
HF-00024,p#U00f6yt#U00e4kirja phytonia varten/Tarkaastukset 2025/M#U00e4#U00e4r#U00e4aikaistarkastukset 2025/05 m#U00e4#U00e4r#U00e4aikaistarkastus ivalo uusinta 19.12.2025.docx,uusinta,Finavia Oyj,"Lentokentäntie 290, 99800 Inari",2c,19.12.2025,"7. Puutteet ja viat, jotka vähentävät käytön turvallisuutta (kat. 2)",kat_2_turvallisuutta_vahentava,16,Autosuojarakennus,"PKV pääkeskuksessa on N-PE yhdistystarroja, jotka ei pidä paikkansa. Keskukseen liitetty PEN johtoja, mutta selkeää N-PE yhdistysmerkintää ei keskuksessa ole. [SFS-6000-1; 6000-8-802 sekä VNa 1434/2016 liitteen kohta 21].","PKV pääkeskuksessa on N-PE yhdistystarroja, jotka ei pidä paikkansa. Keskukseen liitetty PEN johtoja, mutta selkeää N-PE yhdistysmerkintää ei keskuksessa ole. .",,SFS-6000-1; 6000-8-802 sekä VNa 1434/2016 liitteen kohta 21,unparsed,SFS-6000-1; 6000-8-802 sekä VNa 1434/2016 liitteen kohta 21,,,,,"uusinta | Finavia Oyj | Autosuojarakennus | PKV pääkeskuksessa on N-PE yhdistystarroja, jotka ei pidä paikkansa. Keskukseen liitetty PEN johtoja, mutta selkeää N-PE yhdistysmerkintää ei keskuksessa ole. . | SFS-6000-1; 6000-8-802 sekä VNa 1434/2016 liitteen kohta 21 | kat_2_turvallisuutta_vahentava"
